"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"KEGG_N_GLYCAN_BIOSYNTHESIS" 0.0921900161030596 0.081799591002045 0.0676 0.0657314629258517 0.0649095200629426 0.0513338722716249 0.049536850583971 0.0468557336621455 0.0346634421604192 0.0354864433811802 0.0265832681782643 0.0262096774193548 0.0239837398373984 0.0147420147420147 0.0205128205128205 0.0238963142972864 0.0224763406940063 0.0195843325339728 0.018989898989899 0.0209817893903405 0.0199123855037834
"KEGG_OTHER_GLYCAN_DEGRADATION" 0.572463768115942 0.531975560081466 0.499799599198397 0.465845909451946 0.433962264150943 0.40149136577708 0.374898456539399 0.356713426853707 0.351512738853503 0.345614737685222 0.312965139052096 0.289914250714577 0.305768455022186 0.276734693877551 0.287221570926143 0.254683140693503 0.256633663366337 0.247699079631853 0.252332657200811 0.259603720177922 0.23449920508744
"KEGG_O_GLYCAN_BIOSYNTHESIS" 0.548156956004756 0.501026694045175 0.479856402074192 0.453274760383387 0.449979415397283 0.393591772151899 0.364254298280688 0.352295814709468 0.330708661417323 0.307533112582781 0.308243727598566 0.283192940232651 0.291666666666667 0.282527881040892 0.279446640316206 0.276621787025704 0.265281662005593 0.285366842318606 0.256234915526951 0.263679619349722 0.259318001586043
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION" 0.529388403494837 0.552663195835002 0.562905844155844 0.586757080175509 0.59913623871221 0.613664091093941 0.626009693053312 0.648245260185559 0.649562450278441 0.681388012618297 0.681048387096774 0.722702278083268 0.743661971830986 0.762484774665043 0.776058631921824 0.784104389086596 0.815026541445488 0.828832406671962 0.84596676124848 0.854858056777289 0.840485829959514
"KEGG_GLYCEROLIPID_METABOLISM" 0.117483074472322 0.14018691588785 0.140079365079365 0.12711182622687 0.141269841269841 0.152903990517582 0.154776299879081 0.161383285302594 0.174609531437725 0.180914512922465 0.205015923566879 0.21566265060241 0.237848605577689 0.27024827024827 0.284172661870504 0.300687980574666 0.313569438917628 0.359873866771778 0.380545380545381 0.40078431372549 0.440548166062072
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS" 0.20249096022499 0.180089032780251 0.168053904082442 0.148148148148148 0.120515920999597 0.118373854125149 0.0905086103323989 0.0870980870980871 0.0771691323470612 0.0732600732600733 0.0706991358994501 0.058397100281917 0.0638297872340425 0.0496945010183299 0.0623781676413255 0.0541195476575121 0.0556222488995598 0.0559837728194726 0.0453257790368272 0.0439082278481013 0.0485359005214601
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM" 0.210526315789474 0.234381217668126 0.236894757903161 0.26510333863275 0.272443403590945 0.303508080409933 0.309429477020602 0.347013409183259 0.39911575562701 0.440443213296399 0.46787544343713 0.518977227327207 0.539568345323741 0.631323350870093 0.678318931657502 0.759917355371901 0.817710410849621 0.791987049777418 0.749495764421138 0.695528455284553 0.644268774703557
"KEGG_ETHER_LIPID_METABOLISM" 0.377616747181965 0.411811652035116 0.448639870077142 0.464314036478985 0.494526974198593 0.523412698412698 0.542168674698795 0.57 0.603849238171612 0.649439102564103 0.671016211941479 0.684040404040404 0.73406862745098 0.748502994011976 0.788958496476116 0.819032126880846 0.850667745851882 0.868189102564103 0.899326198969481 0.925639983746445 0.924692826000793
"KEGG_ARACHIDONIC_ACID_METABOLISM" 0.0911680911680912 0.0938251804330393 0.108555286521388 0.124154397134899 0.138846153846154 0.146014206787687 0.143255073617191 0.167469879518072 0.188701923076923 0.199367088607595 0.224750499001996 0.215241183623835 0.251692552767822 0.273577235772358 0.305798252581414 0.345779220779221 0.361719060883406 0.418945699564011 0.448494453248811 0.482717520858164 0.534027221777422
"KEGG_LINOLEIC_ACID_METABOLISM" 0.0845632229756681 0.088871096877502 0.105949470252649 0.118677817602549 0.125240107568191 0.132405566600398 0.140194489465154 0.145096463022508 0.166463662200568 0.17740023706045 0.18667730355006 0.181818181818182 0.195190380761523 0.203899268887084 0.228020875150542 0.235342353423534 0.263955342902711 0.255419787150177 0.292162494870743 0.306072874493927 0.319377990430622
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM" 0.313883299798793 0.345891783567134 0.371474617244158 0.393854748603352 0.439581719597211 0.450536352800953 0.458785685564938 0.483719105531581 0.526720647773279 0.559281437125749 0.596837944664032 0.600811359026369 0.642596348884381 0.667324388318863 0.712279293739968 0.739006514657981 0.780614280015955 0.832116788321168 0.84046381447421 0.875915378356387 0.892295280354982
"KEGG_SPHINGOLIPID_METABOLISM" 0.444533120510774 0.402714932126697 0.34609375 0.302770191182208 0.275807094459944 0.261697065820777 0.244256348246675 0.21272365805169 0.200726978998384 0.188393951777687 0.184085510688836 0.160548608309802 0.166396761133603 0.141166870665035 0.148118811881188 0.138083735909823 0.136199276817999 0.132501006846557 0.120288692862871 0.130521289295663 0.117216117216117
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES" 0.891956782713085 0.892568659127625 0.90985241324292 0.93130399012752 0.921352732992529 0.934102141680395 0.938915857605178 0.953666398066076 0.954828660436137 0.968403775133361 0.946399345335516 0.93784639746635 0.910369774919614 0.8872 0.8504 0.832122679580307 0.81143310837634 0.78727634194831 0.743859649122807 0.740892345476873 0.71589991928975
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES" 0.937648927720413 0.945161290322581 0.946370967741936 0.955133387227162 0.963369963369963 0.978646253021757 0.982378854625551 0.986539984164687 0.961023142509135 0.935029354207436 0.89592402057776 0.843851132686084 0.821873743466023 0.780631578947368 0.756875249103228 0.744372990353698 0.7336804164998 0.695063694267516 0.681763040841084 0.654242664551943 0.643981117230527
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM" 0.682847896440129 0.733122779313067 0.80064308681672 0.846216106839336 0.883766745468873 0.896482813749001 0.890575079872205 0.891629599676506 0.888565488565489 0.871209137455691 0.871400394477318 0.888800318852132 0.868162140889414 0.881484437350359 0.885471469040874 0.879705083430345 0.836750483558994 0.80244399185336 0.772082018927445 0.742722265932337 0.70324881141046
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS" 0.72548231511254 0.738717339667458 0.738133547868061 0.7616 0.768866060845516 0.787375415282392 0.811955661124307 0.814814814814815 0.830360681728102 0.835832995541143 0.84821077467558 0.800727566693614 0.76641464385197 0.720081135902637 0.698933227973133 0.639749117992944 0.587756683456025 0.568527918781726 0.529459901800327 0.516952532907858 0.489019607843137
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS" 0.00678642714570858 0.00600480384307446 0.00196772924045651 0.000796812749003984 0.000790513833992095 0.0039984006397441 0.00529100529100529 0.00772671817812119 0.0164658634538153 0.0188 0.0206677265500795 0.0403551251008878 0.0533707865168539 0.0684875662454138 0.0745341614906832 0.0937880633373934 0.121476776498611 0.147330389401847 0.159489633173844 0.190132370637786 0.18974358974359
"KEGG_BASAL_TRANSCRIPTION_FACTORS" 0.475975359342916 0.405837664934026 0.359936783879889 0.326720647773279 0.291483406637345 0.273928714457349 0.240930599369085 0.229054890631449 0.198227236099919 0.172538030424339 0.154523618895116 0.143666531768515 0.123987034035656 0.11455360782715 0.125539427226363 0.102709260008087 0.104041616646659 0.103088648215002 0.0971836572788576 0.0942201108471892 0.0917065390749601
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT" 0.731144978507229 0.80996015936255 0.895645028759244 0.947092084006462 0.928600080224629 0.892843175596402 0.781810929397686 0.695284159613059 0.592934564431955 0.545673076923077 0.480482897384306 0.430471584038694 0.413612565445026 0.365315134484143 0.342936069455406 0.322920892494929 0.31803671189146 0.282122905027933 0.271911944557684 0.253244199764058 0.235294117647059
"KEGG_LYSOSOME" 0.153723616089207 0.160498960498961 0.142455858747994 0.136900078678206 0.144921718185468 0.13895486935867 0.136491368928141 0.142392188771359 0.118410381184104 0.106687898089172 0.110369206598586 0.0907617504051864 0.104556550040683 0.0776460972619534 0.0867865519937451 0.0770161290322581 0.0849466613986567 0.0709963695038322 0.0652614511552493 0.0730071033938437 0.0572669826224329
"KEGG_CARDIAC_MUSCLE_CONTRACTION" 0.228989037758831 0.232793522267206 0.262465097726366 0.284517158818835 0.329992289899769 0.368038740920097 0.397508038585209 0.408606395578366 0.464908722109533 0.50518341307815 0.556648308418568 0.589278516727126 0.637634838194167 0.68969696969697 0.746519246519247 0.786168521462639 0.827433628318584 0.871302957633893 0.879385100512416 0.910134600158353 0.935370152761457
"KEGG_RENIN_ANGIOTENSIN_SYSTEM" 0.142294048088293 0.15249500998004 0.157852240613646 0.16522423288749 0.173667205169628 0.182722929936306 0.207239459029435 0.21841371064169 0.227616394747314 0.238392508778775 0.251739664347114 0.283511269276394 0.279060348319158 0.310260586319218 0.341558950254602 0.361579596873715 0.387083671811535 0.411835748792271 0.439512961508248 0.477208551835417 0.493957115009747
"KEGG_TASTE_TRANSDUCTION" 0.202305246422893 0.20873786407767 0.231617647058824 0.217003105590062 0.21420071400238 0.234702093397746 0.212317666126418 0.214371738257728 0.232121454254894 0.247237003683995 0.250796178343949 0.272208638956805 0.270412287793048 0.283594063377457 0.31737936445665 0.321573398215734 0.355216881594373 0.352725793327909 0.391269199676637 0.45978878960195 0.493584603047314
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION" 0.11521477318346 0.140216954600241 0.147699757869249 0.158383838383838 0.161927330173776 0.179850452577725 0.198697068403909 0.219690805532954 0.222489959839357 0.245663574021783 0.275079617834395 0.311382113821138 0.317277070063694 0.346751693901953 0.372501998401279 0.380126849894292 0.396538158929976 0.441256300891819 0.460890493381468 0.477917981072555 0.491269841269841
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION" 0.076 0.0739692805173808 0.0831295843520782 0.0767112509834776 0.081252477209671 0.0764659270998415 0.0649298597194389 0.0758313057583131 0.0681362725450902 0.0692276910764306 0.0685532084495815 0.0636839983877469 0.0700201207243461 0.0684380032206119 0.0737129485179407 0.0769854132901134 0.0796529968454259 0.0694668820678514 0.071745264006449 0.0658777120315582 0.0530938123752495
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS" 0.737737341772152 0.696161616161616 0.681612505141917 0.649819494584838 0.616117506947201 0.615199034981906 0.55758538522637 0.543993571715548 0.531723291035612 0.505542359461599 0.488782051282051 0.463404771532552 0.468910891089109 0.424663127807268 0.435028248587571 0.421346077260056 0.421238244514107 0.39476861167002 0.375151270673659 0.374803149606299 0.348801237432328
