"D" "Ds" "dist_type" "epsilon" "ppv"
"1" "500" "15" "norm" "-2" "22.3062381852552"
"2" "500" "15" "norm" "-1.8" "20.0378071833648"
"3" "500" "15" "norm" "-1.6" "19.4706994328922"
"4" "500" "15" "norm" "-1.4" "18.5255198487713"
"5" "500" "15" "norm" "-1.2" "19.6597353497164"
"6" "500" "15" "norm" "-1" "23.8185255198488"
"7" "500" "15" "norm" "-0.8" "28.9224952741021"
"8" "500" "15" "norm" "-0.6" "39.6975425330813"
"9" "500" "15" "norm" "-0.4" "54.2533081285444"
"10" "500" "15" "norm" "-0.2" "75.047258979206"
"11" "500" "15" "norm" "0" "100"
"12" "500" "15" "norm" "0.2" "79.773156899811"
"13" "500" "15" "norm" "0.4" "61.4366729678639"
"14" "500" "15" "norm" "0.6" "44.6124763705104"
"15" "500" "15" "norm" "0.8" "36.8620037807183"
"16" "500" "15" "norm" "1" "27.0321361058601"
"17" "500" "15" "norm" "1.2" "22.117202268431"
"18" "500" "15" "norm" "1.4" "20.7939508506616"
"19" "500" "15" "norm" "1.6" "21.9281663516068"
"20" "500" "15" "norm" "1.8" "20.4158790170132"
"21" "500" "15" "norm" "2" "22.3484848484848"
"22" "500" "15" "uniform" "-2" "41.5322580645161"
"23" "500" "15" "uniform" "-1.8" "39.5161290322581"
"24" "500" "15" "uniform" "-1.6" "37.5"
"25" "500" "15" "uniform" "-1.4" "35.6854838709677"
"26" "500" "15" "uniform" "-1.2" "32.8629032258064"
"27" "500" "15" "uniform" "-1" "26.2096774193548"
"28" "500" "15" "uniform" "-0.8" "22.3790322580645"
"29" "500" "15" "uniform" "-0.6" "25.8064516129032"
"30" "500" "15" "uniform" "-0.4" "37.9032258064516"
"31" "500" "15" "uniform" "-0.2" "57.8629032258064"
"32" "500" "15" "uniform" "0" "100"
"33" "500" "15" "uniform" "0.2" "62.5"
"34" "500" "15" "uniform" "0.4" "33.8709677419355"
"35" "500" "15" "uniform" "0.6" "21.7741935483871"
"36" "500" "15" "uniform" "0.8" "19.1532258064516"
"37" "500" "15" "uniform" "1" "20.6477732793522"
"38" "500" "15" "uniform" "1.2" "25.8064516129032"
"39" "500" "15" "uniform" "1.4" "27.8225806451613"
"40" "500" "15" "uniform" "1.6" "29.6370967741936"
"41" "500" "15" "uniform" "1.8" "32.4596774193548"
"42" "500" "15" "uniform" "2" "34.0725806451613"
"43" "500" "15" "right_skew" "-2" "24.2574257425743"
"44" "500" "15" "right_skew" "-1.8" "24.1322314049587"
"45" "500" "15" "right_skew" "-1.6" "23.6363636363636"
"46" "500" "15" "right_skew" "-1.4" "22.9235880398671"
"47" "500" "15" "right_skew" "-1.2" "21.2020033388982"
"48" "500" "15" "right_skew" "-1" "20.5387205387205"
"49" "500" "15" "right_skew" "-0.8" "18.4121621621622"
"50" "500" "15" "right_skew" "-0.6" "18.6666666666667"
"51" "500" "15" "right_skew" "-0.4" "23.6453201970443"
"52" "500" "15" "right_skew" "-0.2" "44.0261865793781"
"53" "500" "15" "right_skew" "0" "100"
"54" "500" "15" "right_skew" "0.2" "83.79705400982"
"55" "500" "15" "right_skew" "0.4" "64.1571194762684"
